province,city,district,name,score,comment_number,month_sales,avg_price,category,delivery_time,delivery_tip,delivery_type,in_time_delivery_percent,min_price,shipping_fee,lat,lng,hours,buz_code
山东省,济南市,市中区,济南老城老味鲁菜馆,3.6,5,月售30,,美食 鲁菜,44分钟,,0,,起送 ¥20,配送 ¥2,36.553887,117.010498,10:00-21:00,0
山东省,威海市,荣成市,蟹堡王,5.0,21,月售63,,美食 麻辣香锅,30分钟,,1,0,起送 ¥20,配送 ¥2,36.984164,122.503829,08:00-20:00,0
山东省,威海市,环翠区,竹家庄避风塘,4.9,46,月售96,,美食 港菜/茶餐厅,50分钟,,1,36,起送 ¥20,配送 ¥0.5,37.485152,122.13342,10:00-21:00,0
山东省,德州市,武城县,乐麦韩式炸鸡三明治,4.5,28,月售28,,美食 炸物类小吃,44分钟,,1,88,起送 ¥20,配送 ¥1.6,37.207122,116.078182,09:00-21:05,0
山东省,淄博市,博山区,茶百道（西冶街店）,4.9,431,月售1000+,,甜点饮品,30分钟,,1,89,起送 ¥20,配送 ¥1,36.499247,117.860747,10:00-22:30,0
山东省,日照市,莒县,花之恋,0.0,0,月售1,,浪漫鲜花,30分钟,,1,0,起送 ¥20,配送 ¥2,35.58258,118.83148,08:00-20:00,1
山东省,德州市,齐河县,1973继光香香鸡（德州齐河德百新时代店）,0.0,3,月售0,,美食 炸物类小吃,30分钟,,1,0,起送 ¥20,配送 ¥1,36.788445,116.738962,10:00-21:00,0
山东省,青岛市,李沧区,文德烤鸭（万年泉路店）,0.0,5,月售5,,美食 烤物类小吃,45分钟,,1,,起送 ¥20,配送 ¥1.5,36.154461,120.426151,09:00-20:30,0
山东省,青岛市,城阳区,八道里炸酱面(팔도짬뽕),4.8,321,月售700,人均 ¥21,美食 面馆,70分钟,,1,74,起送 ¥20,配送 ¥1,36.290569,120.400852,09:30-20:40,0
山东省,济南市,历城区,诚食生鲜（建大店）,0.0,15,月售100+,,生鲜果蔬,34分钟,,0,,起送 ¥20,配送 ¥1,36.587373,117.28884,08:00-19:00,1
山东省,烟台市,莱州市,娇兰佳人（莱州振华百货店）,0.0,4,月售11,,超市便利,45分钟,,0,,起送 ¥20,配送 ¥2,37.144395,119.966858,09:00-20:40,1
山东省,临沂市,兰山区,卖可便利店（齐鲁园店）,0.0,41,月售70,,超市便利,50分钟,由美团快送提供配送服务,0,0,起送 ¥20,免配送费,35.112391,118.355071,06:40-22:45,1
山东省,淄博市,淄川区,川味鸭脖,5.0,195,月售113,,美食 卤味类小吃,44分钟,,1,,起送 ¥20,配送 ¥1,36.64747,117.956472,09:00-20:00,0
山东省,烟台市,莱州市,峰哥街头牛排,4.9,234,月售463,人均 ¥26,美食 意大利菜,41分钟,,1,75,起送 ¥20,配送 ¥2,37.183634,119.945156,10:30-21:00,0
山东省,烟台市,芝罘区,希尔顿酒店（烟台世茂店）,0.0,11,月售15,,美食 其他地方菜,45分钟,,1,0,起送 ¥20,配送 ¥1,37.538976,121.40593,09:00-21:00,0
山东省,潍坊市,潍城区,麦肯汉堡（经贸学院店）,4.6,101,月售199,,美食 汉堡,30分钟,由美团快送提供配送服务,0,91,起送 ¥20,免配送费,36.684919,119.095066,09:00-21:00,0
山东省,临沂市,兰山区,高记水果蔬菜超市(羲之路总店),0.0,0,月售1,,超市便利,30分钟,由美团快送提供配送服务,0,0,起送 ¥20,夜间配送 ¥4.5,35.059438,118.333263,08:00-20:00,1
山西省,大同市,平城区,金湖超市,0.0,0,月售0,,超市便利,30分钟,,1,0,起送 ¥20,夜间配送 ¥6.5,40.118835,113.300264,10:00-21:00,1
