527,益禾堂(新桥万丰村店),4.7
528,超能鹿战队●减脂餐(沙井店),4.8
529,蔬三时·轻食沙拉(西荟城店),5
530,空投来了·轻食餐厅,4.9
531,子木轻食·沙拉(沙井店),4.5
532,Topice糖家庄茶饮轻食,暂无评分
533,渔小白·现熬鱼骨汤粉(立桥城店),4.8
534,达美乐比萨(东滨路店),5
535,御蝶坊老婆饼(立桥城店),4.6
536,四云奶盖贡茶(立桥城店),4.2
537,喜姐炸串·臭豆腐·脆皮年糕(立桥城购物中心店),4.6
538,湖南老饭铺(立桥金融中心店),4.5
539,萨莉亚(184怡海站立桥城店),4
540,和府捞面(深圳立侨城店),5
541,Tims咖啡(立桥城店),4.9
542,奈雪的茶PRO(深圳南山立桥城店),4.7
543,多分乐茶餐厅(鼎太风华店),5
544,轻食时刻(立桥城店),4.9
545,炱集·烤肉泥炉烤肉集合店,暂无评分
546,台盖(深圳南山立桥城店),5
547,东北正宗川天椒麻辣烫(南山店),4.8
548,贡茶·手抓饼·小吃(南山店),4
549,光头佬河南捞面,1
550,袁记云饺(南山村店),4.6
551,byCHUO不错·波奇饭·健康简餐,4.9
552,手抓饼.烤冷面.奶茶.小吃(南山品质店),4.9
553,小荔饺子生活馆(前海店),5
554,冰雪茶人,5
555,波客派炸鸡汉堡(南山村店),4.1
556,三昧真火烧烤(南山店),暂无评分
557,至尊比萨(南山店),4.7
558,贺记三及第,3
559,五谷渔粉(南山村店),暂无评分
560,重庆鸡煲王(南山店),5
561,新兴达四川凉拌,4.1
562,湘赣木桶饭(南山店),4.4
563,崔记水煎包(南山村店),5
564,周三刀·川卤凉菜(南山村店),5
565,华莱士·全鸡汉堡(南山前海雷圳店),4.7
566,窑鸡王(太子店),4.9
567,鹏龙记潮汕特色小炒,暂无评分
568,菜瑶瑶.辣椒炒肉,暂无评分
569,潮汕绿豆饼,暂无评分
570,永和大王·现磨豆浆·卤肉饭(碧榕湾SZ031店),4.9
571,李记烧腊(南山店),4.2
572,我的烧烤(深圳总店),1.3
573,鹿角记广式煲仔饭(南山店),5
574,小耕牛牛肉火锅·粿条(科创店),5
575,桂一點·桂林米粉(阳光科创店),4.9
576,一号鸡架·炸串·小吃(南山店),4.9
577,正宗海鲜大排档,5
578,江小渔酸菜鱼,4.2
579,水煮肉片·砂锅土豆粉,4.7
580,壹品轩烤肉,5
581,渔尚寿司.三文鱼.拉面(南山店),4.9
582,粤味汤饭馆,4.6
583,巴西烤肉手撕鸡(南山店),4.3
584,叫花鸡·手撕鸡(南园店),4.7
585,蟹满堂·阳澄湖大闸蟹,5
586,焗范先生(桂庙店),5
587,石磨肠粉皇(登良店),暂无评分
588,天兴东北饺子馆(南山店),暂无评分
589,状元派丨盖码饭(南山桂庙店),5
590,手撕大排骨,5
591,壹宾犟人烧烤研究所(深圳南山店),4.9
592,重庆麻辣烫(南山店),5
593,山姆手作芝士牛肉卷(南山店),5
594,川蜀·水煮肉片(南山店),4.4
595,蜀一把钵钵鸡(南油店),5
596,金牌老档隔水蒸鸡鹅鸭,暂无评分
597,长望烧烤,暂无评分
598,状元码头水饺·拌面·干拌馄饨(南山店),5
599,鄰里·手打柠檬茶(南山中心店),5
600,暖燕·女生大姨妈伴侣(南山店),暂无评分
601,鸭先知·鸭血粉丝汤,5
602,满里奈日本料理(南山大厦店),5
603,妈妈粉面世家(南山店),3
604,三江源原汤牛肉面(现代华庭店),5
605,阿利斯塔牛排店,4.5
606,荔园·木桶饭(粤海路店),4.6
607,然本道·中式轻食,4.7
608,幺妹面馆,5
609,惠遇见鲍鱼排骨饭,5
610,老成都川菜馆,4.7
611,沙县小吃(荔湾店),暂无评分
612,臻味小厨·煲仔饭·粥点·炒菜,暂无评分
613,锋炒餐饮店,4.7
614,青记汕头牛肉店,4
615,小小簸箕肠粉隆江猪脚饭,暂无评分
616,顺興菜馆三及第·煲仔饭(南山总店),5
617,余百年烧腊(前海店),4.7
